Attrition,Business_Travel,CF_age_band,CF_attrition_label,Department,Education_Field,emp_no,Employee_Number,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,Age,CF_current_Employee,Daily_Rate,Distance_From_Home,Education,Employee_Count,Environment_Satisfaction,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-513,513,Male,Sales Executive,Married,No,Y,2,36,1,164,2,Associates Degree,1,2,61,2,3,3,7596.00,3809.00,1,13,3,2,80,2,10,3,10,9,9,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-514,514,Male,Research Scientist,Single,Yes,Y,4,30,0,464,4,Bachelor's Degree,1,3,40,3,1,4,2285.00,3427.00,9,23,4,3,80,0,3,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-515,515,Female,Laboratory Technician,Divorced,No,Y,2,37,1,1107,14,Bachelor's Degree,1,4,95,3,1,1,3034.00,26914.00,1,12,3,3,80,1,18,2,18,7,12,17
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-516,516,Female,Sales Executive,Divorced,No,Y,5,40,1,759,2,Associates Degree,1,4,46,3,2,2,5715.00,22553.00,7,12,3,3,80,2,8,3,5,4,1,3
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-517,517,Female,Laboratory Technician,Divorced,No,Y,5,42,1,201,1,Master's Degree,1,2,95,3,1,1,2576.00,20490.00,3,16,3,2,80,1,8,3,5,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-518,518,Male,Manufacturing Director,Single,Yes,Y,2,37,1,1305,10,Master's Degree,1,3,49,3,2,2,4197.00,21123.00,2,12,3,4,80,0,18,2,1,0,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-520,520,Male,Research Director,Divorced,No,Y,3,43,1,982,12,Bachelor's Degree,1,1,59,2,4,2,14336.00,4345.00,1,11,3,3,80,1,25,3,25,10,3,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-521,521,Female,Laboratory Technician,Married,No,Y,3,40,1,555,2,Bachelor's Degree,1,2,78,2,2,3,3448.00,13436.00,6,22,4,2,80,1,20,3,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-522,522,Male,Research Director,Married,No,Y,4,54,1,821,5,Associates Degree,1,1,86,3,5,1,19406.00,8509.00,4,11,3,3,80,1,24,2,4,2,1,2
No,Non-Travel,25 - 34,Current Employees,Sales,Marketing,STAFF-523,523,Female,Sales Executive,Married,No,Y,3,34,1,1381,4,Master's Degree,1,3,72,3,2,3,6538.00,12740.00,9,15,3,1,80,1,6,3,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-524,524,Female,Manufacturing Director,Married,No,Y,5,31,1,480,7,Associates Degree,1,2,31,3,2,1,4306.00,4156.00,1,12,3,2,80,1,13,1,13,10,3,12
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-525,525,Male,Laboratory Technician,Married,No,Y,1,43,1,313,21,Bachelor's Degree,1,4,61,3,1,4,2258.00,15238.00,7,20,4,1,80,1,8,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-526,526,Female,Healthcare Representative,Divorced,Yes,Y,3,43,1,1473,8,Master's Degree,1,3,74,3,2,3,4522.00,2227.00,4,14,3,4,80,0,8,3,5,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-527,527,Female,Sales Executive,Single,Yes,Y,3,25,1,891,4,Associates Degree,1,2,99,2,2,4,4487.00,12090.00,1,11,3,2,80,0,5,3,5,4,1,3
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-529,529,Female,Research Scientist,Married,Yes,Y,2,37,1,1063,25,Doctoral Degree,1,2,72,3,2,3,4449.00,23866.00,3,15,3,1,80,2,15,3,13,11,10,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-530,530,Male,Laboratory Technician,Married,No,Y,3,31,1,329,1,Associates Degree,1,4,98,2,1,1,2218.00,16193.00,1,12,3,3,80,1,4,3,4,2,3,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-531,531,Male,Manager,Divorced,Yes,Y,3,39,1,1218,1,High School,1,2,52,3,5,3,19197.00,8213.00,1,14,3,3,80,1,21,3,21,8,1,6
No,Travel_Frequently,Over 55,Current Employees,Sales,Life Sciences,STAFF-532,532,Female,Sales Executive,Married,No,Y,0,56,1,906,6,Bachelor's Degree,1,3,86,4,4,1,13212.00,18256.00,9,11,3,4,80,3,36,2,7,7,7,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-533,533,Female,Sales Executive,Single,No,Y,6,30,1,1082,12,Bachelor's Degree,1,2,83,3,2,3,6577.00,19558.00,0,11,3,2,80,0,6,3,5,4,4,4
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-534,534,Male,Sales Executive,Married,No,Y,2,41,1,645,1,Bachelor's Degree,1,2,49,4,3,1,8392.00,19566.00,1,16,3,3,80,1,10,3,10,7,0,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-536,536,Male,Laboratory Technician,Divorced,No,Y,2,28,1,1300,17,Associates Degree,1,3,79,3,2,1,4558.00,13535.00,1,12,3,4,80,1,10,3,10,0,1,8
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-538,538,Male,Laboratory Technician,Married,No,Y,5,25,0,688,3,Bachelor's Degree,1,1,91,3,1,1,4031.00,9396.00,5,13,3,3,80,1,6,3,2,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-543,543,Male,Manufacturing Director,Married,Yes,Y,4,52,1,319,3,Bachelor's Degree,1,4,39,2,3,3,7969.00,19609.00,2,14,3,3,80,0,28,3,5,4,0,4
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-544,544,Male,Research Scientist,Married,No,Y,3,45,1,192,10,Associates Degree,1,1,69,3,1,4,2654.00,9655.00,3,21,4,4,80,2,8,2,2,2,0,2
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-546,546,Female,Manager,Married,No,Y,2,52,1,1490,4,Associates Degree,1,4,30,3,4,4,16555.00,10310.00,2,13,3,4,80,0,31,1,5,2,1,4
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-547,547,Female,Research Scientist,Divorced,No,Y,3,42,1,532,29,Associates Degree,1,1,92,3,2,3,4556.00,12932.00,2,11,3,2,80,1,19,3,5,4,0,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-548,548,Female,Manufacturing Director,Single,No,Y,2,30,1,317,2,Bachelor's Degree,1,3,43,1,2,4,6091.00,24793.00,2,20,4,3,80,0,11,3,5,4,0,2
No,Travel_Rarely,Over 55,Current Employees,R&D,Life Sciences,STAFF-549,549,Female,Manager,Married,No,Y,5,60,1,422,7,Bachelor's Degree,1,1,41,3,5,1,19566.00,3854.00,5,11,3,4,80,0,33,1,29,8,11,10
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-550,550,Female,Manufacturing Director,Divorced,No,Y,5,46,1,1485,18,Bachelor's Degree,1,3,87,3,2,3,4810.00,26314.00,2,14,3,3,80,1,19,2,10,7,0,8
No,Travel_Frequently,35 - 44,Current Employees,R&D,Technical Degree,STAFF-551,551,Female,Healthcare Representative,Married,No,Y,4,42,1,1368,28,Master's Degree,1,4,88,2,2,4,4523.00,4386.00,0,11,3,4,80,3,7,4,6,5,0,4
Yes,Travel_Rarely,Under 25,Ex-Employees,Sales,Technical Degree,STAFF-554,554,Female,Sales Representative,Single,Yes,Y,4,24,0,1448,1,High School,1,1,62,3,1,2,3202.00,21972.00,1,16,3,2,80,0,6,3,5,3,1,4
Yes,Travel_Frequently,25 - 34,Ex-Employees,Sales,Marketing,STAFF-555,555,Female,Sales Representative,Divorced,No,Y,3,34,0,296,6,Associates Degree,1,4,33,1,1,3,2351.00,12253.00,0,16,3,4,80,1,3,2,2,2,1,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-556,556,Male,Laboratory Technician,Married,Yes,Y,3,38,1,1490,2,Associates Degree,1,4,42,3,1,4,1702.00,12106.00,1,23,4,3,80,1,1,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,STAFF-558,558,Female,Manager,Married,No,Y,2,40,1,1398,2,Master's Degree,1,3,79,3,5,3,18041.00,13022.00,0,14,3,4,80,0,21,3,20,15,1,12
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-560,560,Female,Research Scientist,Divorced,No,Y,3,26,1,1349,23,Bachelor's Degree,1,1,90,3,1,4,2886.00,3032.00,1,22,4,2,80,2,3,1,3,2,0,2
No,Non-Travel,25 - 34,Current Employees,R&D,Life Sciences,STAFF-562,562,Male,Laboratory Technician,Married,No,Y,3,30,1,1400,3,Bachelor's Degree,1,3,53,3,1,4,2097.00,16734.00,4,15,3,3,80,1,9,1,5,3,1,4
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-564,564,Male,Research Director,Married,No,Y,2,29,1,986,3,Master's Degree,1,2,93,2,3,3,11935.00,21526.00,1,18,3,3,80,0,10,3,10,2,0,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-565,565,Female,Research Scientist,Married,No,Y,2,29,0,408,25,Doctoral Degree,1,3,71,2,1,2,2546.00,18300.00,5,16,3,2,80,0,6,4,2,2,1,1
Yes,Travel_Rarely,Under 25,Ex-Employees,HR,Technical Degree,STAFF-566,566,Male,Human Resources,Single,No,Y,3,19,0,489,2,Associates Degree,1,1,52,2,1,4,2564.00,18437.00,1,12,3,3,80,0,1,4,1,0,0,0
No,Non-Travel,25 - 34,Current Employees,Sales,Other,STAFF-567,567,Female,Sales Executive,Married,No,Y,3,30,1,1398,22,Master's Degree,1,3,69,3,3,1,8412.00,2890.00,0,11,3,3,80,0,10,3,9,8,7,8
No,Travel_Rarely,Over 55,Current Employees,Sales,Marketing,STAFF-568,568,Male,Manager,Divorced,No,Y,3,57,1,210,29,Bachelor's Degree,1,1,56,2,4,4,14118.00,22102.00,3,12,3,3,80,1,32,2,1,0,0,0
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-569,569,Male,Manager,Married,No,Y,2,50,1,1099,29,Master's Degree,1,2,88,2,4,3,17046.00,9314.00,0,15,3,2,80,1,28,3,27,10,15,7
No,Non-Travel,25 - 34,Current Employees,R&D,Medical,STAFF-571,571,Female,Laboratory Technician,Single,No,Y,2,30,1,1116,2,Bachelor's Degree,1,3,49,3,1,4,2564.00,7181.00,0,14,3,3,80,0,12,2,11,7,6,7
No,Travel_Frequently,Over 55,Current Employees,Sales,Marketing,STAFF-573,573,Female,Sales Executive,Married,No,Y,5,60,1,1499,28,Bachelor's Degree,1,3,80,2,3,1,10266.00,2845.00,4,19,3,4,80,0,22,4,18,13,13,11
No,Travel_Rarely,45 - 54,Current Employees,R&D,Medical,STAFF-574,574,Female,Manufacturing Director,Divorced,No,Y,2,47,1,983,2,Associates Degree,1,1,65,3,2,4,5070.00,7389.00,5,13,3,3,80,3,20,3,5,0,0,4
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-575,575,Male,Research Director,Married,No,Y,2,46,1,1009,2,Bachelor's Degree,1,1,51,3,4,3,17861.00,2288.00,6,13,3,3,80,0,26,1,3,2,0,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-577,577,Male,Laboratory Technician,Single,No,Y,2,35,1,144,22,Bachelor's Degree,1,4,46,1,1,3,4230.00,19225.00,0,15,3,3,80,0,6,3,5,4,4,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-578,578,Female,Laboratory Technician,Single,No,Y,3,54,1,548,8,Master's Degree,1,3,42,3,2,3,3780.00,23428.00,7,11,3,3,80,0,19,3,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-579,579,Male,Research Scientist,Divorced,No,Y,3,34,1,1303,2,Master's Degree,1,4,62,2,1,3,2768.00,8416.00,3,12,3,3,80,1,14,3,7,3,5,7
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-580,580,Female,Sales Executive,Married,Yes,Y,3,46,1,1125,10,Bachelor's Degree,1,3,94,2,3,4,9071.00,11563.00,2,19,3,3,80,1,15,3,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-581,581,Male,Manufacturing Director,Divorced,No,Y,6,31,1,1274,9,High School,1,3,33,3,3,2,10648.00,14394.00,1,25,4,4,80,1,13,4,13,8,0,8
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-582,582,Male,Manager,Married,Yes,Y,2,33,0,1277,15,High School,1,2,56,3,3,3,13610.00,24619.00,7,12,3,4,80,0,15,4,7,6,7,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Medical,STAFF-584,584,Male,Laboratory Technician,Divorced,No,Y,2,33,0,587,10,High School,1,1,38,1,1,4,3408.00,6705.00,7,13,3,1,80,3,8,3,4,3,1,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-585,585,Male,Sales Representative,Single,No,Y,3,30,1,413,7,High School,1,4,57,3,1,2,2983.00,18398.00,0,14,3,1,80,0,4,3,3,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-586,586,Male,Healthcare Representative,Married,Yes,Y,2,35,1,1276,16,Bachelor's Degree,1,4,72,3,3,3,7632.00,14295.00,4,12,3,3,80,0,10,3,8,7,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,R&D,Life Sciences,STAFF-587,587,Male,Healthcare Representative,Married,No,Y,2,31,0,534,20,Bachelor's Degree,1,1,66,3,3,3,9824.00,22908.00,3,12,3,1,80,0,12,3,1,0,0,0
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Human Resources,STAFF-590,590,Female,Human Resources,Divorced,Yes,Y,2,34,0,988,23,Bachelor's Degree,1,2,43,3,3,1,9950.00,11533.00,9,15,3,3,80,3,11,3,3,2,0,2
No,Travel_Frequently,35 - 44,Current Employees,R&D,Other,STAFF-591,591,Male,Laboratory Technician,Married,No,Y,4,42,1,1474,5,Associates Degree,1,2,97,3,1,3,2093.00,9260.00,4,17,3,4,80,1,8,3,2,2,2,0
No,Non-Travel,35 - 44,Current Employees,Sales,Medical,STAFF-592,592,Male,Sales Executive,Single,No,Y,3,36,1,635,10,Master's Degree,1,2,32,3,3,4,9980.00,15318.00,1,14,3,4,80,0,10,2,10,3,9,7
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Technical Degree,STAFF-593,593,Male,Laboratory Technician,Single,No,Y,3,22,0,1368,4,High School,1,3,99,2,1,3,3894.00,9129.00,5,16,3,3,80,0,4,3,2,2,1,2
No,Travel_Rarely,45 - 54,Current Employees,Sales,Marketing,STAFF-595,595,Female,Sales Executive,Married,No,Y,2,48,1,163,2,Doctoral Degree,1,2,37,3,2,4,4051.00,19658.00,2,14,3,1,80,1,14,3,9,7,6,7
No,Travel_Rarely,Over 55,Current Employees,Sales,Life Sciences,STAFF-597,597,Female,Manager,Single,No,Y,2,55,1,1117,18,Doctoral Degree,1,1,83,3,4,2,16835.00,9873.00,3,23,4,4,80,0,37,3,10,9,7,7
No,Non-Travel,35 - 44,Current Employees,Sales,Life Sciences,STAFF-599,599,Male,Sales Executive,Single,No,Y,3,41,1,267,10,Associates Degree,1,4,56,3,2,4,6230.00,13430.00,7,14,3,4,80,0,16,3,14,3,1,10
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-600,600,Male,Sales Executive,Married,No,Y,2,35,1,619,1,Bachelor's Degree,1,2,85,3,2,3,4717.00,18659.00,9,11,3,3,80,0,15,3,11,9,6,9
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-601,601,Female,Manufacturing Director,Single,No,Y,3,40,1,302,6,Bachelor's Degree,1,2,75,3,4,3,13237.00,20364.00,7,15,3,3,80,0,22,3,20,6,5,13
No,Travel_Frequently,35 - 44,Current Employees,R&D,Life Sciences,STAFF-602,602,Female,Laboratory Technician,Married,No,Y,3,39,1,443,8,High School,1,3,48,3,1,3,3755.00,17872.00,1,11,3,1,80,1,8,3,8,3,0,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-604,604,Male,Sales Executive,Single,Yes,Y,2,31,1,828,2,High School,1,2,77,3,2,4,6582.00,8346.00,4,13,3,3,80,0,10,4,6,5,0,5
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-605,605,Male,Manufacturing Director,Married,Yes,Y,5,42,1,319,24,Bachelor's Degree,1,4,56,3,3,1,7406.00,6950.00,1,21,4,4,80,1,10,2,10,9,5,8
No,Travel_Rarely,45 - 54,Current Employees,Sales,Other,STAFF-606,606,Male,Sales Executive,Married,No,Y,3,45,1,561,2,Bachelor's Degree,1,4,61,3,2,2,4805.00,16177.00,0,19,3,2,80,1,9,4,8,7,3,7
Yes,Travel_Frequently,25 - 34,Ex-Employees,HR,Life Sciences,STAFF-608,608,Female,Human Resources,Divorced,Yes,Y,2,26,0,426,17,Master's Degree,1,2,58,3,1,3,2741.00,22808.00,0,11,3,2,80,1,8,2,7,7,1,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Technical Degree,STAFF-611,611,Male,Manufacturing Director,Divorced,No,Y,2,29,1,232,19,Bachelor's Degree,1,4,34,3,2,4,4262.00,22645.00,4,12,3,2,80,2,8,4,3,2,1,2
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-612,612,Female,Research Director,Divorced,No,Y,2,33,1,922,1,Doctoral Degree,1,1,95,4,4,3,16184.00,22578.00,4,19,3,3,80,1,10,3,6,1,0,5
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-613,613,Male,Manager,Divorced,No,Y,3,31,1,688,7,Bachelor's Degree,1,3,44,2,3,4,11557.00,25291.00,9,21,4,3,80,1,10,2,5,4,0,1
Yes,Travel_Frequently,Under 25,Ex-Employees,Sales,Marketing,STAFF-614,614,Male,Sales Representative,Single,Yes,Y,3,18,0,1306,5,Bachelor's Degree,1,2,69,3,1,2,1878.00,8059.00,1,14,3,4,80,0,0,3,0,0,0,0
No,Non-Travel,35 - 44,Current Employees,Sales,Other,STAFF-615,615,Male,Sales Executive,Divorced,No,Y,2,40,1,1094,28,Bachelor's Degree,1,3,58,1,3,1,10932.00,11373.00,3,15,3,3,80,1,20,3,1,0,0,1
No,Non-Travel,35 - 44,Current Employees,R&D,Other,STAFF-616,616,Female,Healthcare Representative,Single,Yes,Y,3,41,1,509,2,Master's Degree,1,1,62,2,2,3,6811.00,2112.00,2,17,3,1,80,0,10,3,8,7,0,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-618,618,Male,Sales Executive,Divorced,No,Y,5,26,1,775,29,Associates Degree,1,1,45,3,2,3,4306.00,4267.00,5,12,3,1,80,2,8,3,0,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Medical,STAFF-620,620,Female,Sales Executive,Single,No,Y,3,35,1,195,1,Bachelor's Degree,1,1,80,3,2,3,4859.00,6698.00,1,16,3,4,80,0,5,3,5,4,0,3
No,Travel_Rarely,25 - 34,Current Employees,Sales,Life Sciences,STAFF-621,621,Male,Sales Executive,Single,No,Y,3,34,1,258,21,Master's Degree,1,4,74,4,2,4,5337.00,19921.00,1,12,3,4,80,0,10,3,10,7,5,7
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Technical Degree,STAFF-622,622,Male,Laboratory Technician,Single,Yes,Y,3,26,0,471,24,Bachelor's Degree,1,3,66,1,1,4,2340.00,23213.00,1,18,3,2,80,0,1,1,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Technical Degree,STAFF-623,623,Female,Manufacturing Director,Single,No,Y,3,37,1,799,1,Bachelor's Degree,1,2,59,3,3,4,7491.00,23848.00,4,17,3,4,80,0,12,4,6,5,1,2
No,Travel_Frequently,45 - 54,Current Employees,R&D,Medical,STAFF-624,624,Female,Healthcare Representative,Married,No,Y,3,46,1,1034,18,High School,1,1,86,3,3,3,10527.00,8984.00,5,11,3,4,80,0,28,2,2,2,1,2
No,Travel_Rarely,35 - 44,Current Employees,Sales,Life Sciences,STAFF-625,625,Female,Manager,Married,No,Y,2,41,1,1276,2,Doctoral Degree,1,2,91,3,4,1,16595.00,5626.00,7,16,3,2,80,1,22,3,18,16,11,8
No,Non-Travel,35 - 44,Current Employees,Sales,Medical,STAFF-626,626,Male,Sales Executive,Divorced,No,Y,6,37,1,142,9,Master's Degree,1,1,69,3,3,2,8834.00,24666.00,1,13,3,4,80,1,9,3,9,5,7,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Technical Degree,STAFF-630,630,Male,Research Scientist,Divorced,Yes,Y,3,52,1,956,6,Associates Degree,1,4,78,3,2,1,5577.00,22087.00,3,12,3,2,80,2,18,3,10,9,6,9
Yes,Non-Travel,25 - 34,Ex-Employees,Sales,Other,STAFF-631,631,Male,Sales Executive,Married,No,Y,2,32,0,1474,11,Master's Degree,1,4,60,4,2,3,4707.00,23914.00,8,12,3,4,80,0,6,3,4,2,1,2
No,Travel_Frequently,Under 25,Current Employees,Sales,Medical,STAFF-632,632,Male,Sales Representative,Married,No,Y,3,24,1,535,24,Bachelor's Degree,1,4,38,3,1,4,2400.00,5530.00,0,13,3,3,80,2,3,3,2,2,2,1
No,Travel_Rarely,35 - 44,Current Employees,R&D,Medical,STAFF-634,634,Female,Healthcare Representative,Married,No,Y,4,38,1,1495,10,Bachelor's Degree,1,3,76,3,2,3,9824.00,22174.00,3,19,3,3,80,1,18,3,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-635,635,Female,Manufacturing Director,Married,No,Y,2,37,1,446,1,Master's Degree,1,2,65,3,2,2,6447.00,15701.00,6,12,3,2,80,1,8,2,6,5,4,3
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-638,638,Male,Research Director,Divorced,Yes,Y,5,49,1,1245,18,Master's Degree,1,4,58,2,5,3,19502.00,2125.00,1,17,3,3,80,1,31,3,31,9,0,9
No,Travel_Rarely,Under 25,Current Employees,R&D,Medical,STAFF-639,639,Male,Research Scientist,Married,Yes,Y,3,24,1,691,23,Bachelor's Degree,1,2,89,4,1,4,2725.00,21630.00,1,11,3,2,80,2,6,3,6,5,1,4
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-641,641,Male,Sales Executive,Married,No,Y,5,26,1,703,28,Associates Degree,1,1,66,3,2,2,6272.00,7428.00,1,20,4,4,80,2,6,4,5,3,1,4
No,Travel_Rarely,Under 25,Current Employees,R&D,Other,STAFF-643,643,Male,Laboratory Technician,Married,No,Y,2,24,1,823,17,Associates Degree,1,4,94,2,1,2,2127.00,9100.00,1,21,4,4,80,1,1,3,1,0,0,0
No,Travel_Frequently,45 - 54,Current Employees,HR,Medical,STAFF-644,644,Male,Manager,Married,No,Y,2,50,1,1246,3,Bachelor's Degree,1,1,99,3,5,2,18200.00,7999.00,1,11,3,3,80,1,32,3,32,5,10,7
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-645,645,Male,Sales Representative,Married,No,Y,1,25,1,622,13,High School,1,2,40,3,1,3,2096.00,26376.00,1,11,3,3,80,0,7,3,7,4,0,6
Yes,Travel_Frequently,Under 25,Ex-Employees,R&D,Life Sciences,STAFF-647,647,Female,Laboratory Technician,Married,Yes,Y,4,24,0,1287,7,Bachelor's Degree,1,1,55,3,1,3,2886.00,14168.00,1,16,3,4,80,1,6,3,6,3,1,2
Yes,Travel_Frequently,25 - 34,Ex-Employees,Sales,Life Sciences,STAFF-648,648,Male,Sales Representative,Married,No,Y,2,30,0,448,12,Master's Degree,1,2,74,2,1,1,2033.00,14470.00,1,18,3,3,80,1,1,4,1,0,0,0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Life Sciences,STAFF-649,649,Male,Research Scientist,Married,Yes,Y,3,34,1,254,1,Associates Degree,1,2,83,2,1,4,3622.00,22794.00,1,13,3,4,80,1,6,3,6,5,1,3
Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Medical,STAFF-650,650,Male,Sales Executive,Divorced,No,Y,2,31,0,1365,13,Master's Degree,1,2,46,3,2,1,4233.00,11512.00,2,17,3,3,80,0,9,1,3,1,1,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-652,652,Male,Laboratory Technician,Single,No,Y,3,35,1,538,25,Associates Degree,1,1,54,2,2,4,3681.00,14004.00,4,14,3,4,80,0,9,3,3,2,0,2
No,Travel_Rarely,25 - 34,Current Employees,Sales,Medical,STAFF-653,653,Male,Sales Executive,Divorced,No,Y,4,31,1,525,6,Master's Degree,1,1,66,4,2,4,5460.00,6219.00,4,22,4,4,80,2,13,4,7,7,5,7
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-655,655,Female,Research Scientist,Divorced,No,Y,5,27,1,798,6,Master's Degree,1,1,66,2,1,3,2187.00,5013.00,0,12,3,3,80,2,6,2,5,3,0,3
No,Travel_Rarely,35 - 44,Current Employees,Sales,Marketing,STAFF-656,656,Male,Sales Executive,Married,Yes,Y,3,37,1,558,2,Bachelor's Degree,1,4,75,3,2,3,9602.00,3010.00,4,11,3,3,80,1,17,2,3,0,1,0
No,Travel_Rarely,Under 25,Current Employees,R&D,Life Sciences,STAFF-657,657,Female,Research Scientist,Single,No,Y,0,20,1,959,1,Bachelor's Degree,1,4,83,2,1,2,2836.00,11757.00,1,13,3,4,80,0,1,4,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-659,659,Female,Healthcare Representative,Married,No,Y,4,42,1,622,2,Master's Degree,1,3,81,3,2,4,4089.00,5718.00,1,13,3,2,80,2,10,3,10,2,2,2
No,Travel_Rarely,35 - 44,Current Employees,R&D,Other,STAFF-661,661,Male,Research Director,Divorced,Yes,Y,3,43,1,782,6,Master's Degree,1,2,50,2,4,4,16627.00,2671.00,4,14,3,3,80,1,21,2,1,0,0,0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Life Sciences,STAFF-662,662,Female,Research Scientist,Single,No,Y,3,38,1,362,1,High School,1,3,43,3,1,1,2619.00,14561.00,3,17,3,4,80,0,8,2,0,0,0,0
No,Travel_Frequently,35 - 44,Current Employees,R&D,Medical,STAFF-663,663,Male,Laboratory Technician,Divorced,Yes,Y,3,43,1,1001,9,Doctoral Degree,1,4,72,3,2,3,5679.00,19627.00,3,13,3,2,80,1,10,3,8,7,4,7
No,Travel_Rarely,45 - 54,Current Employees,R&D,Life Sciences,STAFF-664,664,Female,Manager,Married,No,Y,3,48,1,1236,1,Master's Degree,1,4,40,2,4,1,15402.00,17997.00,7,11,3,1,80,1,21,1,3,2,0,2
